epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7791,0.92114,2.82179,1.13429,0.68686,0.50078,0.48232,0.40932,0.61108,2.5007,0.94217,9.996e-05,9.996e-05,9.996e-05
2,25.4269,0.83736,1.29515,1.05857,0.72636,0.52852,0.58139,0.4748,0.69507,1.91139,0.98607,0.000203644,0.000203644,0.000203644
3,35.2446,0.83065,1.10313,1.05788,0.66444,0.68946,0.67058,0.54708,0.69896,1.39625,0.93852,0.000303793,0.000303793,0.000303793
4,45.359,0.85087,0.98259,1.06194,0.72937,0.60516,0.65637,0.48266,0.75255,1.02198,1.01146,0.000400408,0.000400408,0.000400408
5,56.8931,0.84024,0.98458,1.05711,0.85724,0.63673,0.75341,0.5274,0.79875,0.99695,1.06022,0.000493488,0.000493488,0.000493488
6,65.9799,0.84186,0.93437,1.06912,0.77855,0.60445,0.64444,0.46594,0.78869,0.95573,1.04318,0.000583035,0.000583035,0.000583035
7,75.9163,0.82609,0.91329,1.05016,0.82097,0.43841,0.57464,0.42282,0.84769,1.0311,1.11489,0.000643314,0.000643314,0.000643314
8,85.3846,0.79756,0.8606,1.03421,0.63789,0.56521,0.61545,0.44782,0.9401,1.19607,1.12266,0.000631533,0.000631533,0.000631533
9,94.9479,0.81861,0.83605,1.04062,0.81236,0.53809,0.61561,0.45469,0.81964,0.8366,1.07734,0.000619752,0.000619752,0.000619752
10,104.629,0.80657,0.85591,1.04344,0.63752,0.63083,0.56362,0.38886,0.85803,1.1372,1.10304,0.000607971,0.000607971,0.000607971
11,113.972,0.8229,0.8335,1.04874,0.72917,0.66792,0.70108,0.52511,0.84523,0.99254,1.07853,0.00059619,0.00059619,0.00059619
12,123.15,0.80004,0.79305,1.03781,0.61157,0.64613,0.70477,0.53557,0.87722,0.94806,1.16792,0.000584409,0.000584409,0.000584409
13,132.943,0.78256,0.7616,1.03892,0.73949,0.71155,0.69752,0.53062,0.86247,0.89785,1.11668,0.000572628,0.000572628,0.000572628
14,141.877,0.76825,0.75616,1.03323,0.80236,0.67471,0.68134,0.53155,0.80899,0.80176,1.06318,0.000560847,0.000560847,0.000560847
15,151.888,0.74694,0.73366,1.0282,0.88603,0.61388,0.69409,0.53406,0.77729,0.80161,1.05855,0.000549066,0.000549066,0.000549066
16,161.631,0.77221,0.72835,1.03434,0.76088,0.66292,0.70471,0.53498,0.74112,0.85288,0.99648,0.000537285,0.000537285,0.000537285
17,170.245,0.75392,0.70412,1.03187,0.8061,0.60749,0.67963,0.52104,0.76086,0.90578,1.00421,0.000525504,0.000525504,0.000525504
18,179.928,0.76447,0.69907,1.02386,0.81446,0.67157,0.71147,0.53612,0.80397,0.76228,1.04959,0.000513723,0.000513723,0.000513723
19,190.39,0.74996,0.67359,1.01187,0.83598,0.68379,0.68806,0.53443,0.76842,0.73173,1.01764,0.000501942,0.000501942,0.000501942
20,199.849,0.7291,0.67576,1.00101,0.66658,0.71977,0.66555,0.51332,0.76371,0.84622,1.02457,0.000490161,0.000490161,0.000490161
21,209.446,0.73155,0.67881,1.01242,0.75425,0.64769,0.6767,0.52173,0.73607,0.78656,0.99039,0.00047838,0.00047838,0.00047838
22,219.699,0.70387,0.64544,1.00607,0.61351,0.65399,0.6339,0.50624,0.75866,0.83604,1.008,0.000466599,0.000466599,0.000466599
23,229.847,0.7154,0.65355,1.00326,0.59856,0.68035,0.65453,0.51623,0.77037,0.78124,1.02241,0.000454818,0.000454818,0.000454818
24,238.935,0.68782,0.6305,0.99003,0.80159,0.7059,0.72305,0.55059,0.79515,0.80224,1.0441,0.000443037,0.000443037,0.000443037
25,249.331,0.69243,0.61482,0.98368,0.78485,0.64379,0.71769,0.55975,0.75346,0.81986,1.03999,0.000431256,0.000431256,0.000431256
26,259.479,0.69142,0.61272,0.99642,0.70414,0.72952,0.72559,0.57357,0.74708,0.74066,1.00383,0.000419475,0.000419475,0.000419475
27,268.706,0.69415,0.61183,1.00172,0.72557,0.65594,0.71648,0.55713,0.76235,0.75601,1.03423,0.000407694,0.000407694,0.000407694
28,278.773,0.66477,0.56064,0.97696,0.82384,0.68609,0.72821,0.57166,0.74199,0.78574,1.01845,0.000395913,0.000395913,0.000395913
29,289.055,0.65796,0.56212,0.97466,0.8497,0.62037,0.728,0.57629,0.75933,0.83704,1.02934,0.000384132,0.000384132,0.000384132
30,298.469,0.6691,0.58349,0.97015,0.80575,0.69428,0.73681,0.56743,0.73637,0.76405,1.02831,0.000372351,0.000372351,0.000372351
31,310.252,0.66088,0.5845,0.97886,0.74171,0.69109,0.73301,0.58214,0.72149,0.78884,0.99924,0.00036057,0.00036057,0.00036057
32,320.531,0.63316,0.54982,0.96637,0.81973,0.68623,0.76714,0.63673,0.68807,0.71926,0.9572,0.000348789,0.000348789,0.000348789
33,330.218,0.62223,0.53954,0.96098,0.83431,0.71805,0.78519,0.65331,0.7037,0.70062,0.97451,0.000337008,0.000337008,0.000337008
34,340.212,0.64536,0.56084,0.9784,0.83722,0.67479,0.75979,0.62371,0.71594,0.77392,0.97072,0.000325227,0.000325227,0.000325227
35,350.691,0.6361,0.5475,0.9762,0.78889,0.77239,0.79267,0.63771,0.69848,0.65697,0.97791,0.000313446,0.000313446,0.000313446
36,359.63,0.61443,0.51328,0.95354,0.79355,0.78233,0.79472,0.65548,0.7053,0.62243,0.97687,0.000301665,0.000301665,0.000301665
37,369.541,0.61056,0.50055,0.95157,0.73609,0.74769,0.76609,0.62839,0.70289,0.64105,0.99348,0.000289884,0.000289884,0.000289884
38,379.429,0.60888,0.49737,0.94933,0.80937,0.73234,0.74941,0.6005,0.67259,0.66118,0.97747,0.000278103,0.000278103,0.000278103
39,390.088,0.60485,0.50341,0.95096,0.78682,0.72788,0.73998,0.59274,0.69093,0.65194,0.97664,0.000266322,0.000266322,0.000266322
40,398.72,0.60983,0.48788,0.94441,0.7273,0.70443,0.72561,0.58391,0.69447,0.67515,1.00477,0.000254541,0.000254541,0.000254541
41,408.855,0.58357,0.47539,0.94117,0.84017,0.65053,0.71102,0.56549,0.69319,0.72523,0.9911,0.00024276,0.00024276,0.00024276
42,418.763,0.57974,0.46841,0.9397,0.83861,0.65735,0.71873,0.57223,0.69659,0.69869,1.00074,0.000230979,0.000230979,0.000230979
43,430.031,0.5754,0.45966,0.94282,0.84635,0.69793,0.7323,0.55795,0.68655,0.66146,0.98234,0.000219198,0.000219198,0.000219198
44,440.313,0.58804,0.46211,0.94156,0.68376,0.69312,0.66416,0.53042,0.70693,0.69461,0.99907,0.000207417,0.000207417,0.000207417
45,450.39,0.56771,0.4538,0.93948,0.59538,0.72684,0.72689,0.56423,0.70287,0.63625,0.99519,0.000195636,0.000195636,0.000195636
46,459.377,0.55591,0.44182,0.93548,0.65917,0.72959,0.75979,0.60605,0.67726,0.6152,0.99242,0.000183855,0.000183855,0.000183855
47,469.131,0.56126,0.44555,0.93878,0.69951,0.727,0.73566,0.61416,0.65216,0.63789,0.97048,0.000172074,0.000172074,0.000172074
48,478.677,0.55326,0.43701,0.92639,0.84076,0.71047,0.75876,0.63496,0.63325,0.64657,0.95587,0.000160293,0.000160293,0.000160293
49,488.86,0.56141,0.43477,0.9359,0.84646,0.70181,0.77921,0.64334,0.63997,0.62676,0.96245,0.000148512,0.000148512,0.000148512
50,497.874,0.53242,0.41364,0.92723,0.82078,0.74399,0.78408,0.63262,0.64935,0.60981,0.96715,0.000136731,0.000136731,0.000136731
51,513.447,0.50083,0.4179,0.89079,0.81617,0.67702,0.7716,0.6319,0.66015,0.68119,0.9757,0.00012495,0.00012495,0.00012495
52,523.473,0.4913,0.39674,0.88083,0.82904,0.72919,0.74664,0.595,0.65915,0.65771,0.97847,0.000113169,0.000113169,0.000113169
53,533.719,0.46685,0.36398,0.87479,0.82779,0.72535,0.74553,0.61263,0.65036,0.63719,0.98559,0.000101388,0.000101388,0.000101388
54,542.042,0.4607,0.35471,0.88236,0.81454,0.71879,0.74565,0.61517,0.65423,0.61504,0.97938,8.9607e-05,8.9607e-05,8.9607e-05
55,552.538,0.47957,0.3579,0.89401,0.86037,0.68375,0.74114,0.61173,0.65697,0.62874,0.97953,7.7826e-05,7.7826e-05,7.7826e-05
56,562.701,0.45736,0.34515,0.87261,0.86259,0.70654,0.74804,0.61163,0.65485,0.61214,0.98012,6.6045e-05,6.6045e-05,6.6045e-05
57,570.806,0.44723,0.32251,0.8661,0.8648,0.71117,0.74822,0.61277,0.64876,0.60639,0.97901,5.4264e-05,5.4264e-05,5.4264e-05
58,580.63,0.44601,0.32503,0.86651,0.87262,0.71359,0.75477,0.62223,0.64506,0.60162,0.97854,4.2483e-05,4.2483e-05,4.2483e-05
59,592.116,0.45357,0.32646,0.86261,0.84514,0.73897,0.75495,0.62419,0.63671,0.5927,0.97512,3.0702e-05,3.0702e-05,3.0702e-05
60,600.518,0.43452,0.313,0.87431,0.84676,0.73928,0.75431,0.62277,0.63692,0.58922,0.9744,1.8921e-05,1.8921e-05,1.8921e-05
